변수명,Label
,  6) 인터넷/스마트폰 사용이 어려워서
,  7) 가격이 비싸서
,  8) 온라인에서 판매하는 식품이 다양하지 않아서
,"  9) 사이트 방문, 정보 탐색 등 찾아보기가 귀찮아서"
," 10) 택배 박스, 포장지 등 쓰레기가 많이 나와서"
, 51) 접근성이 낮아서
, 52) 소량 구매가 어려워서
, 97) 구입하지 않음
A9_1,  1) 구입 시간을 절약하고 시간의 제약을 받지 않아서
,  2) 가격이 저렴하니까
,  3) 품질이 좋아서
,  4) 상품정보를 비교·확인하기 쉬워서
,  5) 다양하고 특별한 식품을 구입할 수 있어서
,  6) 배달해 주므로
,  7) 반품하기 쉬워서
,  8) 비대면 구입이 가능해서
A9_2,  1) 구입 시간을 절약하고 시간의 제약을 받지 않아서
,  2) 가격이 저렴하니까
,  3) 품질이 좋아서
,  4) 상품정보를 비교·확인하기 쉬워서
,  5) 다양하고 특별한 식품을 구입할 수 있어서
,  6) 배달해 주므로
,  7) 반품하기 쉬워서
,  8) 비대면 구입이 가능해서
A10,  1) 매일 1회 이상
,  2) 주 4~6회
,  3) 주 2~3회
,  4) 주 1회
,  5) 2주일에 1회
,  6) 1달에 1회
,  7) 그보다 드물게
A11_1,"  1) 온라인 쇼핑몰(G마켓, 11번가, 쿠팡, 네이버 쇼핑 등) ※오프라인 유통사업이 없는 온라인 전문몰"
,"  2) 온라인 식품 전문몰(마켓컬리, 오아시스, 윙잇, 쿠캣 등 식품을 주로 판매하는 식품 전문몰)"
,"  3) 대형마트/백화점/홈쇼핑 온라인 매장(이마트, SSG, 롯데, 현대, CJ, GS 등)   ※ 기존 유통사업이 있는 온라인몰"
,"  4) 친환경 전문점 온라인 매장(생협, 유기농 전문점, 초록마을, 한살림 등)"
,"  5) 특산물 온라인 매장(시/도, 농협, 생산자단체, 우체국 등 운영 쇼핑몰)"
,"  6) SNS 구매(온라인 카페, 블로그, 카카오, 인스타마켓, 공구밴드 등)"
